begin,open,close,high,low,value,volume,end,year,ticker,company_name
2016-04-18,95.0,93.48,95.12,92.31,246541541.9,2639450,2016-04-18 23:59:59,2016,RTKM,Ростелеком
2016-04-19,93.52,95.69,95.7,93.11,254657622.7,2688460,2016-04-19 23:59:59,2016,RTKM,Ростелеком
2016-04-20,94.91,97.59,97.59,94.91,183376062.6,1900200,2016-04-20 23:59:59,2016,RTKM,Ростелеком
2016-04-21,97.77,97.66,98.5,95.16,217730932.2,2244540,2016-04-21 23:59:59,2016,RTKM,Ростелеком
2016-04-22,97.7,100.0,100.53,96.23,277900127.8,2816700,2016-04-22 23:59:59,2016,RTKM,Ростелеком
2016-04-25,99.93,98.61,100.0,97.61,212478605.1,2148720,2016-04-25 23:59:59,2016,RTKM,Ростелеком
2016-04-26,99.5,99.09,99.7,97.6,164250638.1,1667970,2016-04-26 23:59:59,2016,RTKM,Ростелеком
2016-04-27,98.79,98.2,99.09,97.05,160393036.4,1639000,2016-04-27 23:59:59,2016,RTKM,Ростелеком
2016-04-28,97.92,99.99,99.99,97.0,240127854.9,2443200,2016-04-28 23:59:59,2016,RTKM,Ростелеком
2016-04-29,99.6,98.5,99.97,97.25,219950882.5,2229920,2016-04-29 23:59:59,2016,RTKM,Ростелеком
2016-05-04,97.5,95.97,99.87,95.1,223314506.0,2320600,2016-05-04 23:59:59,2016,RTKM,Ростелеком
2016-05-05,95.66,94.17,95.74,93.53,156832526.8,1666790,2016-05-05 23:59:59,2016,RTKM,Ростелеком
2016-05-06,94.1,94.1,94.83,93.06,113020314.6,1204410,2016-05-06 23:59:59,2016,RTKM,Ростелеком
2016-05-10,94.12,94.9,94.9,93.08,204272107.3,2177210,2016-05-10 23:59:59,2016,RTKM,Ростелеком
2016-05-11,94.8,97.49,97.5,94.28,205835642.6,2134590,2016-05-11 23:59:59,2016,RTKM,Ростелеком
2016-05-12,97.4,95.8,97.75,94.95,121937020.1,1268190,2016-05-12 23:59:59,2016,RTKM,Ростелеком
2016-05-13,95.55,96.3,96.99,94.42,149463094.2,1558390,2016-05-13 23:59:59,2016,RTKM,Ростелеком
2016-05-16,97.3,97.3,98.11,96.36,166818443.1,1711650,2016-05-16 23:59:59,2016,RTKM,Ростелеком
2016-05-17,97.4,98.5,98.8,96.9,275748709.9,2809860,2016-05-17 23:59:59,2016,RTKM,Ростелеком
