begin,open,close,high,low,value,volume,end,year,ticker,company_name
2023-03-29,4511.5,4527.5,4555.0,4495.0,1112161516.0,245558,2023-03-29 23:59:59,2023,MGNT,Магнит
2023-03-30,4528.0,4583.0,4587.5,4522.0,808018000.5,177790,2023-03-30 23:59:59,2023,MGNT,Магнит
2023-03-31,4592.0,4610.0,4700.0,4582.0,3049873974.0,657513,2023-03-31 23:59:59,2023,MGNT,Магнит
2023-04-03,4632.5,4582.0,4672.0,4550.0,1295275712.0,282448,2023-04-03 23:59:59,2023,MGNT,Магнит
2023-04-04,4582.0,4565.0,4624.0,4555.0,972162004.5,212218,2023-04-04 23:59:59,2023,MGNT,Магнит
2023-04-05,4579.0,4554.0,4579.0,4512.0,613944910.0,134985,2023-04-05 23:59:59,2023,MGNT,Магнит
2023-04-06,4564.0,4571.5,4586.0,4552.5,485753120.0,106290,2023-04-06 23:59:59,2023,MGNT,Магнит
2023-04-07,4571.5,4574.0,4592.0,4562.0,465501387.0,101721,2023-04-07 23:59:59,2023,MGNT,Магнит
2023-04-10,4576.0,4624.0,4628.0,4576.0,668854592.5,145461,2023-04-10 23:59:59,2023,MGNT,Магнит
2023-04-11,4629.0,4552.5,4648.5,4539.5,1514090412.0,329558,2023-04-11 23:59:59,2023,MGNT,Магнит
2023-04-12,4552.5,4576.5,4590.0,4526.5,780700232.0,171043,2023-04-12 23:59:59,2023,MGNT,Магнит
2023-04-13,4577.0,4555.0,4605.0,4530.5,634835728.0,139311,2023-04-13 23:59:59,2023,MGNT,Магнит
2023-04-14,4555.0,4575.0,4588.5,4532.5,473067729.5,103585,2023-04-14 23:59:59,2023,MGNT,Магнит
2023-04-17,4625.0,4677.5,4678.0,4590.0,1281563576.5,275940,2023-04-17 23:59:59,2023,MGNT,Магнит
2023-04-18,4688.5,4844.5,4847.5,4678.0,2732658237.0,573375,2023-04-18 23:59:59,2023,MGNT,Магнит
2023-04-19,4844.0,4730.5,4893.0,4670.0,2718782033.0,566526,2023-04-19 23:59:59,2023,MGNT,Магнит
2023-04-20,4735.0,4806.5,4859.5,4731.0,3354350283.5,697591,2023-04-20 23:59:59,2023,MGNT,Магнит
2023-04-21,4830.0,4808.0,4847.5,4785.0,737516964.5,153257,2023-04-21 23:59:59,2023,MGNT,Магнит
2023-04-24,4829.0,4817.5,4858.0,4800.5,803223168.0,166278,2023-04-24 23:59:59,2023,MGNT,Магнит
