begin,open,close,high,low,value,volume,end,year,ticker,company_name
2019-10-28,278.65,285.7,286.6,277.9,1394482078.0,4917760,2019-10-28 23:59:59,2019,MTSS,МТС
2019-10-29,286.35,287.3,287.3,283.25,708344293.0,2478320,2019-10-29 23:59:59,2019,MTSS,МТС
2019-10-30,286.5,287.75,288.9,284.9,1285245329.5,4474100,2019-10-30 23:59:59,2019,MTSS,МТС
2019-10-31,289.0,285.0,289.25,283.6,639350809.0,2235100,2019-10-31 23:59:59,2019,MTSS,МТС
2019-11-01,285.0,286.3,287.85,284.9,536160635.0,1872860,2019-11-01 23:59:59,2019,MTSS,МТС
2019-11-05,287.0,289.75,290.6,286.8,654629053.5,2265470,2019-11-05 23:59:59,2019,MTSS,МТС
2019-11-06,289.45,291.8,291.9,287.75,560088646.0,1931170,2019-11-06 23:59:59,2019,MTSS,МТС
2019-11-07,292.9,299.6,299.8,291.8,1267231652.5,4289560,2019-11-07 23:59:59,2019,MTSS,МТС
2019-11-08,299.0,300.3,303.3,297.0,938925637.0,3132140,2019-11-08 23:59:59,2019,MTSS,МТС
2019-11-11,299.55,297.8,299.55,295.85,439633513.5,1476700,2019-11-11 23:59:59,2019,MTSS,МТС
2019-11-12,299.0,299.5,303.95,298.5,753965092.5,2497710,2019-11-12 23:59:59,2019,MTSS,МТС
2019-11-13,298.65,298.6,300.2,296.5,460997462.5,1543670,2019-11-13 23:59:59,2019,MTSS,МТС
2019-11-14,299.0,297.3,301.0,297.3,331530720.5,1108190,2019-11-14 23:59:59,2019,MTSS,МТС
2019-11-15,298.5,300.2,301.25,297.35,389852416.5,1302800,2019-11-15 23:59:59,2019,MTSS,МТС
2019-11-18,300.65,297.45,302.0,295.2,468554193.5,1570030,2019-11-18 23:59:59,2019,MTSS,МТС
2019-11-19,297.5,305.5,306.0,297.5,836424914.0,2760530,2019-11-19 23:59:59,2019,MTSS,МТС
2019-11-20,304.7,306.1,308.7,303.9,885590901.5,2894290,2019-11-20 23:59:59,2019,MTSS,МТС
2019-11-21,306.45,306.0,306.45,304.0,478150743.0,1567940,2019-11-21 23:59:59,2019,MTSS,МТС
2019-11-22,307.0,305.15,308.6,304.95,404184065.5,1319870,2019-11-22 23:59:59,2019,MTSS,МТС
2019-11-25,313.5,308.5,318.55,308.0,2161932316.5,6925170,2019-11-25 23:59:59,2019,MTSS,МТС
2019-11-26,309.1,304.5,310.4,304.5,1514046410.5,4939360,2019-11-26 23:59:59,2019,MTSS,МТС
2019-11-27,305.3,306.35,308.45,304.0,1074763065.0,3515790,2019-11-27 23:59:59,2019,MTSS,МТС
2019-11-28,306.3,306.7,306.7,304.0,333734436.0,1093390,2019-11-28 23:59:59,2019,MTSS,МТС
2019-11-29,305.95,304.5,306.25,303.7,446448869.0,1466640,2019-11-29 23:59:59,2019,MTSS,МТС
2019-12-02,304.5,305.85,307.55,304.45,463325404.5,1513400,2019-12-02 23:59:59,2019,MTSS,МТС
2019-12-03,306.0,303.1,306.15,299.6,789446863.0,2608740,2019-12-03 23:59:59,2019,MTSS,МТС
2019-12-04,302.85,303.6,305.55,300.4,440234629.0,1451170,2019-12-04 23:59:59,2019,MTSS,МТС
2019-12-05,302.25,304.1,305.7,301.25,891015638.5,2934570,2019-12-05 23:59:59,2019,MTSS,МТС
2019-12-06,304.0,300.8,304.0,300.8,754253503.5,2494740,2019-12-06 23:59:59,2019,MTSS,МТС
2019-12-09,300.8,302.5,305.0,300.4,676981882.0,2237910,2019-12-09 23:59:59,2019,MTSS,МТС
2019-12-10,303.1,302.4,304.3,301.25,468242935.5,1549130,2019-12-10 23:59:59,2019,MTSS,МТС
2019-12-11,302.6,305.2,305.85,302.4,371550104.0,1219260,2019-12-11 23:59:59,2019,MTSS,МТС
2019-12-12,306.2,305.1,308.95,305.0,977974044.0,3188020,2019-12-12 23:59:59,2019,MTSS,МТС
2019-12-13,305.95,304.4,306.6,303.05,871960577.0,2864810,2019-12-13 23:59:59,2019,MTSS,МТС
2019-12-16,305.2,306.85,309.7,304.7,711457583.0,2317300,2019-12-16 23:59:59,2019,MTSS,МТС
2019-12-17,307.05,311.2,311.2,307.0,788268108.0,2546900,2019-12-17 23:59:59,2019,MTSS,МТС
2019-12-18,310.8,313.85,316.45,310.0,873809082.0,2780260,2019-12-18 23:59:59,2019,MTSS,МТС
2019-12-19,313.6,312.3,316.5,310.7,1215701628.0,3871980,2019-12-19 23:59:59,2019,MTSS,МТС
2019-12-20,312.95,313.7,313.7,310.3,600691286.5,1920730,2019-12-20 23:59:59,2019,MTSS,МТС
2019-12-23,313.6,314.05,317.4,313.25,702362529.0,2225730,2019-12-23 23:59:59,2019,MTSS,МТС
2019-12-24,313.25,314.0,315.9,312.5,510245887.5,1624920,2019-12-24 23:59:59,2019,MTSS,МТС
2019-12-25,314.45,318.05,318.7,314.0,576267595.5,1818420,2019-12-25 23:59:59,2019,MTSS,МТС
2019-12-26,318.4,319.7,320.45,317.8,557966526.0,1746490,2019-12-26 23:59:59,2019,MTSS,МТС
2019-12-27,319.5,320.0,323.75,319.45,686066308.0,2134450,2019-12-27 23:59:59,2019,MTSS,МТС
2019-12-30,320.95,319.95,323.65,319.05,950251469.5,2957930,2019-12-30 23:59:59,2019,MTSS,МТС
